销售日期,低价,中价,高价
2008-03-02,2,3,0
2008-03-09,6,4,0
2008-03-16,4,10,0
2008-03-23,9,9,0
2008-03-30,2,9,0
2008-04-06,8,13,0
2008-04-13,3,11,0
2008-04-20,5,10,0
2008-04-27,7,12,0
2008-05-04,2,14,0
2008-05-11,3,18,0
2008-05-18,7,12,0
2008-05-25,5,14,0
2008-06-01,8,17,0
2008-06-08,11,19,0
2008-06-15,7,22,0
2008-06-22,16,20,0
2008-06-29,26,29,0
2008-07-06,23,20,0
2008-07-13,14,7,0
2008-07-20,10,19,0
2008-07-27,10,16,0
2008-08-03,24,18,0
2008-08-10,16,16,0
2008-08-17,32,29,0
2008-08-24,20,29,0
2008-08-31,34,18,3
2008-09-07,33,30,1
2008-09-14,32,25,5
2008-09-21,40,24,7
2008-09-28,44,27,5
2008-10-05,68,70,16
2008-10-12,25,26,6
2008-10-19,33,43,5
2008-10-26,27,42,7
2008-11-02,39,46,9
2008-11-09,47,46,8
2008-11-16,35,30,6
2008-11-23,15,18,11
2008-11-30,17,37,8
2008-12-07,31,41,14
2008-12-14,13,28,8
2008-12-21,22,58,12
2008-12-28,35,67,19
2009-01-04,52,93,21
2009-01-11,44,55,20
2009-01-18,57,82,11
2009-01-25,50,70,32
2009-02-01,32,63,17
2009-02-08,28,40,13
2009-02-15,25,39,12
2009-02-22,10,24,14
2009-03-01,15,25,16
2009-03-08,47,58,16
2009-03-15,17,26,12
2009-03-22,13,41,27
2009-03-29,24,52,27
2009-04-05,18,41,38
2009-04-12,32,39,21
2009-04-19,23,24,18
2009-04-26,17,35,16
2009-05-03,53,96,61
2009-05-10,20,43,29
2009-05-17,18,31,15
2009-05-24,14,32,9
2009-05-31,19,30,36
2009-06-07,14,32,15
2009-06-14,38,79,35
2009-06-21,17,36,20
2009-06-28,15,38,16
2009-07-05,26,46,22
2009-07-12,22,29,21
2009-07-19,24,32,27
2009-07-26,12,50,35
2009-08-02,13,52,46
2009-08-09,11,42,27
2009-08-16,7,44,31
2009-08-23,8,58,43
2009-08-30,14,45,41
2009-09-06,18,110,50
2009-09-13,7,67,46
2009-09-20,15,94,57
2009-09-27,15,113,92
2009-10-04,15,127,120
2009-10-11,14,86,105
2009-10-18,9,48,58
2009-10-25,5,56,60
2009-11-01,13,53,53
2009-11-08,15,56,57
2009-11-15,22,87,55
2009-11-22,5,62,63
2009-11-29,15,51,43
2009-12-06,9,46,44
2009-12-13,13,66,50
2009-12-20,9,66,84
2009-12-27,5,76,88
2010-01-03,18,100,93
2010-01-10,5,43,38
2010-01-17,14,59,62
2010-01-24,13,71,89
2010-01-31,11,85,73
2010-02-07,25,90,112
2010-02-14,20,101,138
2010-02-21,15,80,86
2010-02-28,16,76,60
2010-03-07,6,63,48
2010-03-14,12,68,46
2010-03-21,15,66,47
2010-03-28,4,41,49
2010-04-04,35,79,91
2010-04-11,9,60,58
2010-04-18,4,47,52
2010-04-25,8,70,50
2010-05-02,8,135,78
2010-05-09,12,104,81
2010-05-16,8,78,52
2010-05-23,10,76,58
2010-05-30,11,75,78
2010-06-06,4,52,70
2010-06-13,5,71,60
2010-06-20,8,107,103
2010-06-27,6,60,53
2010-07-04,3,46,43
2010-07-11,5,71,42
2010-07-18,6,70,39
2010-07-25,1,72,53
2010-08-01,8,77,42
2010-08-08,6,70,41
2010-08-15,2,70,38
2010-08-22,1,61,30
2010-08-29,10,51,36
2010-09-05,17,73,40
2010-09-12,38,86,44
2010-09-19,15,62,37
2010-09-26,30,76,71
2010-10-03,26,136,125
2010-10-10,24,138,78
2010-10-17,17,93,64
2010-10-24,16,96,68
2010-10-31,15,82,69
2010-11-07,12,87,73
2010-11-14,15,104,73
2010-11-21,12,70,58
2010-11-28,11,61,72
2010-12-05,8,90,87
2010-12-12,5,133,131
2010-12-19,5,75,78
2010-12-26,5,102,127
2011-01-02,9,120,126
2011-01-09,6,107,120
2011-01-16,7,65,100
2011-01-23,2,96,83
